RegionMilieuClasse,dpa_1,dpa_2,dpa_3,dpa_4,dpa_5,dpa_6,dpa_7,dpa_8,dpa_9,dpa_10,dpa_11,dpa_12,row_coord_dim1,row_coord_dim2
NE-R-1,961695.3038674033,86397.00552486187,125843.89502762431,572507.0828729281,114832.45303867404,299042.3093922652,139409.49723756907,82894.88397790055,9753.265193370165,3065.6519337016575,368.3204419889503,6917.0,0.6704678135629135,-1.8225421891676474
NE-R-2,709258.527131783,63424.84496124031,180968.8914728682,395069.3410852713,85829.6511627907,146595.1550387597,125695.44186046511,91406.96899224806,16646.891472868218,24243.95348837209,3197.6744186046512,2745.5581395348836,1.490880750983653,-0.09051309484618816
NE-R-3,575172.1810344828,66611.17672413793,155734.0,300988.2543103448,69402.96551724138,126607.44827586207,148911.02586206896,75669.2025862069,5863.883620689655,32803.74137931035,30.478448275862068,4928.857758620689,2.271611702010599,0.29982938286035826
NE-R-4,469090.13636363635,58709.57575757576,151896.5909090909,223911.0909090909,54092.98484848485,93869.71212121213,124498.06060606061,72617.86363636363,8321.742424242424,21604.71212121212,373.54545454545456,15323.772727272728,2.7629390143763017,0.18655400041135348
NE-U-1,1021792.6802721089,87333.98299319728,201803.0918367347,1006285.5340136054,146207.9149659864,315546.0714285714,192331.91836734695,145420.72789115645,33646.58843537415,15425.741496598639,7239.9047619047615,6146.588435374149,-1.8234100069961787,-1.1065692920567587
NE-U-2,788151.6991869919,74734.39837398374,256548.37398373985,667141.4471544715,126138.20731707317,222084.26829268291,216308.65447154472,151113.37398373985,35056.73170731707,52832.14227642276,8527.073170731708,5267.357723577235,-1.2823290115278052,0.9978536367712795
NE-U-3,662924.2792022792,58336.57264957265,204119.92877492876,525677.0028490028,87005.78917378918,173980.42165242165,189895.5356125356,134330.62962962964,33494.74074074074,69194.29914529914,10965.91452991453,6002.461538461538,-0.04114788053528684,1.4899205824655561
NE-U-4,523791.9318181818,38851.954545454544,135517.43181818182,331516.25,78024.81818181818,138819.29545454544,123644.27272727272,100871.18181818182,9141.65909090909,38249.25,0.0,5921.113636363636,2.385128342185424,0.05064998096824636
NW-R-1,815436.1902017291,48974.42363112392,114519.65994236311,448398.3371757925,75052.48991354468,144487.80403458214,105833.48126801153,60686.391930835736,17982.94812680115,9979.334293948126,128.62247838616716,5812.792507204611,2.233725046626947,-1.1860913543161722
NW-R-2,591296.1067415731,46980.93820224719,111314.87078651685,385189.23595505615,73622.58426966293,148716.3651685393,92433.92696629213,55828.37640449438,16324.039325842698,25752.34831460674,0.0,6195.185393258427,2.6566900829099893,-0.5019247612682889
NW-R-3,475796.09152542375,56618.027118644066,131595.2372881356,250755.92881355932,48128.63728813559,93811.50508474576,110887.46440677966,59534.57966101695,10869.257627118644,36343.83728813559,665.6440677966102,1923.4677966101694,3.0733423368495725,0.5211011501204739
NW-R-4,439670.8448275862,74037.50862068965,131913.6724137931,260613.8275862069,50397.19827586207,87745.06034482758,82244.91379310345,65592.20689655172,20577.456896551725,29704.387931034482,689.6551724137931,13941.172413793103,2.7276536961228075,0.6663285425099169
NW-U-1,976122.3133640554,54839.76958525346,182865.3456221198,887571.8294930876,138647.267281106,238980.66820276497,145352.40552995392,160920.3456221198,26469.479262672812,27377.79262672811,21039.24884792627,8350.41935483871,-1.1634210721052312,-1.0429818520783805
NW-U-2,754938.5494505494,54778.57142857143,211515.3186813187,570622.1648351648,132548.9835164835,189872.82967032967,147638.5164835165,128044.48901098901,34380.81318681319,59967.77472527473,10183.516483516483,21643.835164835164,-0.4856468684180404,0.6614791628435508
NW-U-3,606940.7005347593,62779.70053475936,234105.29411764705,423081.8128342246,71087.25668449198,173903.79144385026,110441.6256684492,104168.83957219252,28797.860962566843,73990.66844919787,7194.465240641711,2046.8395721925133,0.7369941135845656,1.8125872984665667
NW-U-4,564242.5161290322,94982.87096774194,201753.03225806452,319907.06451612903,95980.7741935484,178674.1935483871,84080.29032258065,118994.19354838709,21846.290322580644,47473.06451612903,460.80645161290323,1885.967741935484,1.0214065645056216,1.2395379799386799
SE-R-1,1089476.4074074074,23630.0,142829.07407407407,729886.5185185185,154692.5185185185,395176.6790123457,211922.43209876542,89231.71604938271,9444.160493827161,3453.0123456790125,534.9629629629629,17183.913580246914,-0.17713194112605846,-3.2279006145720626
SE-R-2,665244.5535714285,25818.928571428572,130812.71428571429,351505.96428571426,67978.01785714286,147695.35714285713,174146.9107142857,81411.16071428571,10576.92857142857,13319.25,3277.6785714285716,5343.410714285715,2.331804194291114,-0.9836896188289775
SE-R-3,589301.308411215,24308.92523364486,157728.0280373832,304076.26168224297,81794.28971962616,192995.95327102803,213635.94392523365,83140.58878504673,19117.92523364486,27691.457943925234,25832.439252336448,12099.03738317757,1.1332713864094652,-0.48866624476434906
SE-R-4,399745.5523809524,27120.609523809522,130033.26666666666,236449.6476190476,79847.62857142858,91859.0,140041.6476190476,63339.44761904762,10099.838095238096,23343.666666666668,3478.8285714285716,10126.361904761905,3.04437849083346,-0.2668797141584028
SE-U-1,1381824.4148471616,43499.58951965065,266973.1310043668,1293719.2707423582,255083.89519650655,460976.8209606987,287812.25327510916,211650.1441048035,30546.248908296944,11035.943231441048,56012.12663755458,14182.379912663755,-5.652134692445749,-3.080581459935909
SE-U-2,971594.588607595,44537.99367088608,330580.03797468357,709458.5253164558,201551.3417721519,277837.10759493674,307469.88607594935,185983.3734177215,38947.76582278481,47705.22151898734,30286.930379746835,21867.898734177215,-3.669908261292921,0.10520052468273358
SE-U-3,807523.1912225705,47150.57053291536,265034.67398119124,552061.0219435737,151091.5830721003,230416.98746081506,251550.48902821317,154119.8432601881,35102.3605015674,56425.843260188085,20822.708463949843,27355.539184952977,-1.8795622126471052,0.5905273690240135
SE-U-4,653947.8724832215,41202.54362416107,219317.41610738254,343850.19463087246,136983.677852349,223446.57718120806,171441.9865771812,131045.79194630873,28153.55033557047,44954.70469798658,5934.234899328859,13092.436241610738,0.09811571959924581,0.25375179923598407
SW-R-1,906147.077922078,45681.11688311688,126302.05194805194,529836.7402597403,127714.12987012987,303613.4025974026,136950.05194805196,84357.63636363637,14980.233766233767,2046.3116883116884,0.0,13073.64935064935,0.8925392610705958,-2.2970131924349557
